id,input,prediction,generation
1-25,alps has topic Ascent,The Alps is a topic of Ascent.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic Ascent [/TRIPLE] [ANW] The Alps is a topic of Ascent. [/ANW] 100207 [/ANW] 100207 [/ANW] 100207 [/ANW] 100207 [/ANW] 100207 [/ANW] 100207 [/ANW] 100207 [/ANW] 100207 [/ANW] 100207 [/ANW] 100207 [/ANW] 100207 [/ANW] 100"
1-26,"alps has topic Mythen der Alpen. Von Saligen, Weissen Frauen und Heiligen Bergen.","The book Mythen der Alpen. Von Saligen, Weissen Frauen und Heiligen Bergen is about the Alps.","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic Mythen der Alpen. Von Saligen, Weissen Frauen und Heiligen Bergen. [/TRIPLE] [ANW] The book Mythen der Alpen. Von Saligen, Weissen Frauen und Heiligen Bergen is about the Alps. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW"
1-27,alps has topic The Summer Villa,The Summer Villa is a topic of the Alps.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic The Summer Villa [/TRIPLE] [ANW] The Summer Villa is a topic of the Alps. [/ANW] 1077 words"
1-28,alps has topic The Bavarian Highlands and the Salzkammergut,The Bavarian Highlands and the Salzkammergut are topics of the Alps.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic The Bavarian Highlands and the Salzkammergut [/TRIPLE] [ANW] The Bavarian Highlands and the Salzkammergut are topics of the Alps. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW]"
1-29,alps has topic Elizabeth Cary Agassiz: A Biography,The book Elizabeth Cary Agassiz: A Biography is about the Alps.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic Elizabeth Cary Agassiz: A Biography [/TRIPLE] [ANW] The book Elizabeth Cary Agassiz: A Biography is about the Alps. [/ANW] 1077 words"
1-30,alps has topic Hochlandzauber,The Alps has the topic of Hochlandzauber.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic Hochlandzauber [/TRIPLE] [ANW] The Alps has the topic of Hochlandzauber. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW]"
1-31,alps has topic The Mountains of My Life,The Alps is the topic of the book The Mountains of My Life.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic The Mountains of My Life [/TRIPLE] [ANW] The Alps is the topic of the book The Mountains of My Life. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. ["
1-32,alps has topic A History of Mountaineering in the Alps,A History of Mountaineering in the Alps is a topic of the Alps.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic A History of Mountaineering in the Alps [/TRIPLE] [ANW] A History of Mountaineering in the Alps is a topic of the Alps. [/ANW] 1007 words"
1-33,alps has topic The Great Days,The Great Days is a topic of the Alps.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic The Great Days [/TRIPLE] [ANW] The Great Days is a topic of the Alps. [/ANW] 1004 words"
1-34,alps has topic Heidi (A classics novel by Johanna Spyri with orignal illustrations):Illustrated Edition,"The classic novel Heidi, by Johanna Spyri, was originally illustrated.","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic Heidi (A classics novel by Johanna Spyri with orignal illustrations):Illustrated Edition [/TRIPLE] [ANW] The classic novel Heidi, by Johanna Spyri, was originally illustrated. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107"
1-35,alps has topic The Last Italian: Portrait of a People,The Alps has the topic The Last Italian: Portrait of a People.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic The Last Italian: Portrait of a People [/TRIPLE] [ANW] The Alps has the topic The Last Italian: Portrait of a People. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100"
1-36,alps has topic The Bavarian Highlands And The Salzkammergut,The Bavarian Highlands And The Salzkammergut are topics of the Alps.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic The Bavarian Highlands And The Salzkammergut [/TRIPLE] [ANW] The Bavarian Highlands And The Salzkammergut are topics of the Alps. [/ANW] 1077 words"
1-37,alps has topic Starlight and Storm,Starlight and Storm is a topic of the Alps.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic Starlight and Storm [/TRIPLE] [ANW] Starlight and Storm is a topic of the Alps. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/AN"
1-38,alps has topic Alps and Sanctuaries of Piedmont and the Canton Ticino,The Alps and Sanctuaries of Piedmont and the Canton Ticino are topics.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic Alps and Sanctuaries of Piedmont and the Canton Ticino [/TRIPLE] [ANW] The Alps and Sanctuaries of Piedmont and the Canton Ticino are topics. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. ["
1-39,alps has topic Leggende delle Alpi,Leggende delle Alpi is a topic of the Alps.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic Leggende delle Alpi [/TRIPLE] [ANW] Leggende delle Alpi is a topic of the Alps. [/ANW] 1007 words"
2-0,banat has topic Felix Milleker,Felix Milleker is a topic of banat.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] banat has topic Felix Milleker [/TRIPLE] [ANW] Felix Milleker is a topic of banat. [/ANW] 100773"
2-1,banat has topic Johann Lippet,Johann Lippet is a topic of banat.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] banat has topic Johann Lippet [/TRIPLE] [ANW] Johann Lippet is a topic of banat. [/ANW] 100774"
2-2,banat has topic Die Tür zur hinteren Küche: Roman,The topic of banat is Die Tür zur hinteren Küche: Roman.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] banat has topic Die Tür zur hinteren Küche: Roman [/TRIPLE] [ANW] The topic of banat is Die Tür zur hinteren Küche: Roman. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 10"
3-0,"Travel Books and Other Writings, 1916-1941 has topic american fiction in english","The book Travel Books and Other Writings, 1916-1941 is about American fiction in English.","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] Travel Books and Other Writings, 1916-1941 has topic american fiction in english [/TRIPLE] [ANW] The book Travel Books and Other Writings, 1916-1941 is about American fiction in English. [/ANW] 1004 words"
4-0,travel books has topic Steven V. Roberts,Steven V. Roberts is the author of travel books.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] travel books has topic Steven V. Roberts [/TRIPLE] [ANW] Steven V. Roberts is the author of travel books. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW]"
4-1,travel books has topic Jancis Robinson,Jancis Robinson is the author of travel books.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] travel books has topic Jancis Robinson [/TRIPLE] [ANW] Jancis Robinson is the author of travel books. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW]"
4-2,travel books has topic WineTrails of Washington: A guide for uncorking your memorable wine tour,"The book ""Wine Trails of Washington: A guide for uncorking your memorable wine tour"" is about travel.","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] travel books has topic WineTrails of Washington: A guide for uncorking your memorable wine tour [/TRIPLE] [ANW] The book ""Wine Trails of Washington: A guide for uncorking your memorable wine tour"" is about travel. [/ANW] 102 words. [/ANW] 102 words. [/ANW] 102 words. [/ANW] 102 words. [/ANW] 102 words. [/ANW] 102 words. [/ANW] 102 words. [/ANW] 102 words. [/ANW] 102 words. [/ANW] 102 words. ["
4-3,travel books has topic WineTrails of Walla Walla: A Guide for Uncorking Your Memorable Wine Tour,"The book ""Wine Trails of Walla Walla: A Guide for Uncorking Your Memorable Wine Tour"" is about wine.","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] travel books has topic WineTrails of Walla Walla: A Guide for Uncorking Your Memorable Wine Tour [/TRIPLE] [ANW] The book ""Wine Trails of Walla Walla: A Guide for Uncorking Your Memorable Wine Tour"" is about wine. [/ANW] 1077 words"
4-4,travel books has topic American Wine: The Ultimate Companion to the Wines and Wineries of the United States,The book American Wine: The Ultimate Companion to the Wines and Wineries of the United States is a travel book.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] travel books has topic American Wine: The Ultimate Companion to the Wines and Wineries of the United States [/TRIPLE] [ANW] The book American Wine: The Ultimate Companion to the Wines and Wineries of the United States is a travel book. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words. [/ANW] 107 words"
5-0,transylvania has topic Dervla Murphy,Dervla Murphy is a topic in Transylvania.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] transylvania has topic Dervla Murphy [/TRIPLE] [ANW] Dervla Murphy is a topic in Transylvania. [/ANW] 1077 words"
5-1,transylvania has topic Transylvania and beyond,"The book ""Transylvania and beyond"" is about Transylvania.","<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] transylvania has topic Transylvania and beyond [/TRIPLE] [ANW] The book ""Transylvania and beyond"" is about Transylvania. [/ANW] 1057 words"
6-0,morocco has topic Thomas Boberg,Thomas Boberg is a topic in Morocco.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic Thomas Boberg [/TRIPLE] [ANW] Thomas Boberg is a topic in Morocco. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 10"
6-1,morocco has topic Abel Paz,Abel Paz is a topic in Morocco.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic Abel Paz [/TRIPLE] [ANW] Abel Paz is a topic in Morocco. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words"
6-2,morocco has topic Salvador Dalí,Salvador Dali is a topic in Morocco.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic Salvador Dalí [/TRIPLE] [ANW] Salvador Dali is a topic in Morocco. [/ANW] 1027 words"
6-3,morocco has topic Mohamed Mrabet,Morocco has a topic called Mohamed Mrabet.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic Mohamed Mrabet [/TRIPLE] [ANW] Morocco has a topic called Mohamed Mrabet. [/ANW] 1027 words"
6-4,morocco has topic Fiona McIntosh,Fiona McIntosh is a topic in Morocco.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic Fiona McIntosh [/TRIPLE] [ANW] Fiona McIntosh is a topic in Morocco. [/ANW] 100705.html [/ANW] 100705.html [/ANW] 100705.html [/ANW] 100705.html [/ANW] 100705.html [/ANW] 100705.html [/ANW] 100705.html [/ANW] 100705.html [/ANW] 100705.html [/ANW] 100705.html [/ANW] 10"
6-5,morocco has topic Richard Francis Burton,Richard Francis Burton is a topic in Morocco.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic Richard Francis Burton [/TRIPLE] [ANW] Richard Francis Burton is a topic in Morocco. [/ANW] 100405.html [/ANW] 100405.html [/ANW] 100405.html [/ANW] 100405.html [/ANW] 100405.html [/ANW] 100405.html [/ANW] 100405.html [/ANW] 100405.html [/ANW] 100405.html [/ANW] 100405.html [/ANW] 1004"
6-6,morocco has topic Olivier Todd,Olivier Todd is a topic in Morocco.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic Olivier Todd [/TRIPLE] [ANW] Olivier Todd is a topic in Morocco. [/ANW] 1007 words"
6-7,morocco has topic Steffen Kopetzky,Steffen Kopetzky is a topic in Morocco.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] morocco has topic Steffen Kopetzky [/TRIPLE] [ANW] Steffen Kopetzky is a topic in Morocco. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW"
